Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.072000,Auto
Start Frequency,+1.030000000e+09
Stop Frequency,+1.780000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,2,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,View,View,View
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.301000e+09,-9.917969e+01,-9.329197e+01,-8.057098e+01
1.302000e+09,-9.914884e+01,-9.313189e+01,-8.043586e+01
1.303000e+09,-9.909170e+01,-9.326261e+01,-8.068864e+01
1.304000e+09,-9.911421e+01,-9.299480e+01,-8.041046e+01
1.305000e+09,-9.921207e+01,-9.320926e+01,-8.038217e+01
1.306000e+09,-9.907599e+01,-9.298146e+01,-8.069127e+01
1.307000e+09,-9.927660e+01,-9.283033e+01,-8.067423e+01
1.308000e+09,-9.922615e+01,-9.297218e+01,-8.038759e+01
1.309000e+09,-9.940076e+01,-9.283092e+01,-8.062837e+01
1.310000e+09,-9.912014e+01,-9.290045e+01,-8.036149e+01
1.311000e+09,-9.898749e+01,-9.280014e+01,-8.051551e+01
1.312000e+09,-9.901408e+01,-9.278208e+01,-8.033616e+01
1.313000e+09,-9.900415e+01,-9.261743e+01,-8.055717e+01
1.314000e+09,-9.918678e+01,-9.266970e+01,-8.066537e+01
1.315000e+09,-9.905474e+01,-9.257377e+01,-8.062946e+01
1.316000e+09,-9.927328e+01,-9.285062e+01,-8.047301e+01
1.317000e+09,-9.917838e+01,-9.245643e+01,-8.067251e+01
1.318000e+09,-9.908678e+01,-9.254431e+01,-8.030706e+01
1.319000e+09,-9.909482e+01,-9.287959e+01,-8.058525e+01
1.320000e+09,-9.915744e+01,-9.271811e+01,-8.042589e+01
1.321000e+09,-9.897367e+01,-9.253086e+01,-8.056188e+01
1.322000e+09,-9.915059e+01,-9.268295e+01,-8.047616e+01
1.323000e+09,-9.916314e+01,-9.268053e+01,-8.027273e+01
1.324000e+09,-9.920164e+01,-9.272268e+01,-8.045312e+01
1.325000e+09,-9.897677e+01,-9.289821e+01,-8.017695e+01
1.326000e+09,-9.898718e+01,-9.267695e+01,-8.010534e+01
1.327000e+09,-9.917788e+01,-9.264358e+01,-8.005055e+01
1.328000e+09,-9.915002e+01,-9.259479e+01,-7.983689e+01
1.329000e+09,-9.926742e+01,-9.304981e+01,-7.964746e+01
1.330000e+09,-9.887339e+01,-9.250474e+01,-7.972209e+01
1.331000e+09,-9.923041e+01,-9.244176e+01,-7.951596e+01
1.332000e+09,-9.898379e+01,-9.271770e+01,-7.916610e+01
1.333000e+09,-9.911207e+01,-9.242115e+01,-7.937487e+01
1.334000e+09,-9.888746e+01,-9.232164e+01,-7.942472e+01
1.335000e+09,-9.887348e+01,-9.235131e+01,-7.926090e+01
1.336000e+09,-9.890746e+01,-9.226296e+01,-7.900062e+01
1.337000e+09,-9.890095e+01,-9.212785e+01,-7.905781e+01
1.338000e+09,-9.897728e+01,-9.183380e+01,-7.909084e+01
1.339000e+09,-9.890716e+01,-9.239081e+01,-7.920208e+01
1.340000e+09,-9.887308e+01,-9.228833e+01,-7.916719e+01
